Tweet,Polaridad,Subjetividad
Yo fui muy feliz por muchos años con la Santander Free hasta que me cambié a HeyBanco y su tarjeta me pareció una chulada. Recomiendo ampliamente.,0.515,0.71
Hola. En mi caso me comuniqué al 81 4392 2626 y allí me resolvieron. Por founa fue algo sencillo y rápido ¡Suee!,0.125,0.47857142857142854
Más fácil que Now saque sus tarjetas de crédito,0.12,0.55
"Perfecto, iré a un punto Hey. Gracias, bebé LOL",0.9,0.85
"He probado 4 bancos tradicionales diferentes y hasta el momento el mejor manejando MSI, ha sido ✅Te permite ver exactamente cuánto debes en total. ✅ Te da la lista de todos los pagos futuros que tendrás que hacer mes por mes. ✅ Te da cashback de 2% en efectivo.",0.22142857142857145,0.46071428571428574
Oye 🌝 Qué excelente tiempo de respuesta y amable personal en tu centro de atención ♥️ 🥰,0.56875,0.65
Listo muchas Gracias,0.23,0.38
Gracias,0.2,0.16
Muchas gracias,0.2,0.2
¡Estamos para servie!,0,0
Con es tan sencillo hacer todo tipo de movimientos desde mi celular. Además tienen una super tasa de rendimiento…,0.3833333333333333,0.75
Muchas gracias,0.2,0.2
"hola , les mandé un dm, gracias !",0.25,0.2
Muchas gracias! Si entrare para levantar un repoe a,0.22,0.19
La de está más coqueta y tienen beneficios reales. 🔥,0.35,0.4
"Gracias, arreglado",0.15,0.2
Gracias 😊🤗,0.24,0.16
"Muchas Gracias, ya fue resuelto, gracias por el sopoe. Excelente servicio 👌🏽",0.23,0.23
Muchas gracias por la felicitación 🤗,0.26,0.26
Si nunca había tenido este tipo de situación con otros métodos de pago y se me hace increíble como una operación tan sencilla como pagar con tu tarjeta de en una página web se conviee en toda una mala experiencia de usuario con su servicio.,0.018750000000000044,0.5747023809523809
Vaaaaa gracias por el dato,0.2,0.2
"Buen dia, saque un carro usado en merkauto, y me autorizaron el crédito el lunes 19 de Junio pero es fecha que no me llaman a firmar contrato y factura, como puedo saber cuando esta listo porque esta tardando mucho un proceso como este, gracias.",0.28333333333333327,0.5
"Para que estén bien atentos a lo que les llega, gracias a les compao el correo para que vean por dónde les quieren llegar. Pónganse listos.",0.26666666666666666,0.5333333333333333
AMO heybanco bien cabron. Jaja,0.5,0.6
Por fiiiin modificaron la app de ya detecta mi huella y tiene una bonita sección de métricas de tus gastos. Ah y pagué sin temas la luz.,0.625,0.85
Yo estoy con la verdad✨,0,0
Gracias!,0.2,0.16
Gracias! Lo hice y quedo. 🙌🏻,0.2,0.16
"Se resolvió, volviendo a instalar la app",0,0
"Gracias, ahora se los envío",0.2,0.2
"buen día, ¿esto es real?",0.44999999999999996,0.45000000000000007
"Ps.... su aplicación es la mejor, he visto HSBC y Banamex y nel. ¿qué tal la de HeyBanco, la has probado?",1,0.3
Muchas gracias ✨,0.26,0.26
"Desde que abrí mi cuenta los amo ♥️. Si puedes, te recomiendo INVERSIÓN HEY ahí tengo mis ahorros y si eres Hey Pro hay mejores rendimientos 🤩",0.6666666666666666,0.7000000000000001
"Respuesta favorable, gracias!",0.25,0.2
Por eso amamos ✨🩷,0.5,0.6
"Una más Techreo de Came, está súper bien.... además de que ahora están dando unos regalos solo por inveir con ellos...seguro y muy fácil.",0.43277777777777776,0.7111111111111111
Nos da mucho gusto que seas pae de esta gran familia FINSUS ¡Saludos! 😎💙,0.7250000000000001,0.875
¡Hola Gracias por ser pae de esta gran familia FINSUS 😎👊,0.5,0.475
Hace pocos días estaba disponible,0.1,0.25
FINSUS siempre me a gustado mucho :) Aprovechando les dejo mi enlace de referido ;) Utiliza mi código CASTILLO--79570,0.45,0.9333333333333332
"Pedida, esta si vale la pena el precio jajaja",0.25,0.25
Sin duda!,0,0.5
Intenta es buenazo!!,0.3,0.63
"ay suena súper bien, justo lo que me anda gustando mucho ahorita de nu es su pae de hacer crecer tu dinero jajk o sea la inversión, quiero entrarle más al tema👀 la más fan de los neobanks, definitivamente cuando por fin mande alv a banamex me abriré una de heybanco 🤓🩷",0.2761904761904762,0.5814935064935064
"Fácil: entro a pagos, elijo la tarjeta, elijo el plazo (3 meses, 0%), aceptar, token 👉 Error. Antes he pagado sin problemas. Puedo hacer otras operaciones con token sin problemas.",0.15416666666666667,0.6041666666666667
"😍 El nuevo diseño de las TDC de esta ma-ma-lón chavos. 🙋🏽‍♂️ Tan pronto me regrese de USA voy a solicitar mi nuevo diseño (carísimo el envío por cieo, ni Obama lo tiene). 👀Por cieo, su programa de recompensas esta bastante aceptable eh. 💡https://t.co/F79GXxxqTB",-0.125757576,0.6063636363636363
"📢 Tarjetas de Crédito (TDC) SIN anualidad y con diseños chingones. 🚨Aunque antes de usar una TDC debes aprender a usarla papucho. 📢 Personalmente la uso y me va muy bien, la aceptan donde sea (incluso en el gabacho). 👀Checa:",0.1,0.3
"Muchas gracias, Justo llame hace dos días para la aclaración, espero no sea tan tardado y salga bien",-0.02,0.43
"Gracias, acabo de mandar el correo.",0.2,0.2
"Varias meses siendo usuario HeyPro en y al fin me dieron por lo menos unos de sus puntos, algo más que una taza preferencial de inversión.",0.05,0.475
"Perfecto, estaré atenta. Muchas gracias.",0.6,0.6
Rifadisimo en lo personal si me gustó.,0.6,0.8
"Sí me sirvió, muchas gracias 🫶🏽",0.26,0.26
"Que sean tan fácil de usar y sobre todo confiables como heybanco, cuales?",0.21666666666666667,0.4666666666666667
"Ya me llegó la Ajolotarjeta de y me encantó, acá les dejo el unboxing para que vean más detalles de este nuevo diseño:",0.4454545454545455,0.5848484848484848
Yo voy a pedir la mía está preciosa esa tarjeta 👍🥰,0.1,0.22
¡Te invitamos a ser pae de Klar para que comiences a disfrutar de nuestros beneficios! 😀☺️,0.5,0.6
Gracias ya mande un correo,0.2,0.2
"Gracias por el repoe. Exacto, ya pagué. Cc",0.2,0.2
realmente dan servicio al cliente por este medio?,0.2,0.2
I highly recommend you to👉@Legith_hacks on Instagram he helped me out when I had same issues,0.08,0.3325
"Que bueno, gracias por estar atentos. También chequen su nivel de ""empatia"" con sus clientes, de todas las formas. ✌️",0.44999999999999996,0.4
Que dato tan interesante me has dado! Conoces ?,0.5,0.5
Gracias ya les contesté,0.2,0.2
Muy bien. Ya la solicité y si me la otorgaron. Elegí el diseño de ajolotito. 😎,0.2,0.3
Gracias,0.2,0.16
This web3 developer's MEV strategy is the real deal - earning him over 5 ETH per week and taking his crypto earnings to new heights.,0.16818181818181818,0.3772727272727273
"Buenos días, he gracias por la atención, llame al servicio al cliente y todo bien, ya no aparece así, muchas gracias 👀",0.46499999999999997,0.41500000000000004
"Buena noche! En Mayo pedi un ceificado de regalo de amazon con HeyCoins, estaba viendo el estado del pedido y me aparece en Procesando, hay algun estimado de cuando se procesan estos pedidos? Muchas Gracias.",0.44999999999999996,0.4
"Jajajaja por eso no me toman enserio, perooo nunca dejaré de usar a cheems para algunos vídeos jajaja Hoy vídeo en el cana…",0.022222222222222237,0.48888888888888893
"me pueden atender por aqui, no creo que haya problema.",0,0
"esperemos que responda en sinceramente no he tenido problemas con ellos se me hace un buen banco, muchas gracias.",0.48666666666666664,0.45333333333333337
El mejor banco es HeyBanco por mucha diferencia nk,0.6,0.25
"Sí, tengo distintas cuentas y siempre me han apoyado cuando llega a pasar algo. Hasta ahora HeyBanco y BBVA han sido mis mejores experiencias",0.5,0.44999999999999996
Recomiendo HeyBanco,0.2,0.9
Gracias. Ya me explicaron. Muy amables.,0.375,0.5
Yo he tenido buena experiencia con HeyBanco. 1% cashback en compras físicas y 2% en compras online. La app es fácil de usar y permite inveir al 10% anual renovando cada 7 días. Actualmente la utilizo para cubrir mi gasto mensual. Estoy contento con ella.,0.38666666666666666,0.5952380952380952
"En menos de un mes logré desbloquear estos grandes beneficios, gracias por brindar esta herramienta para promover e…",0.27777777777777785,0.33888888888888885
Enserio! Wow muchas gracia spor la respuesta en unos minutos más termino de abrir mi cuenta,0.26666666666666666,0.3666666666666667
Ilimitadas. Puedes hacer todas las que quieras con los plazos que gustes y los mejores rendimientos. En ofrecemos la mejor plataforma digital que te permite libead financiera.,0.5,0.15
"Gracias, ya les contesté🙏🙏🙏",0.2,0.17
"Ha, thanks for the rec! I loved the idea of having a digital bank that's pa of the Multired (consoium of ATMs) but I guess it was not to be 🙄.",0.31666666666666665,0.3333333333333333
Gracias,0.2,0.16
"Puedes empezar con tarjetas de crédito ""garantizadas"" Son para personas que no tienen historial. Stori o heybanco sería lo mejorcito. Recibir nómina también ayuda mucho con los bancos tradicionales c:",0,0.75
tomalo por el lado amable y para el proximo recibo ya es gratis heheheheh,0.3333333333333333,0.5666666666666668
Jajaja verdad que sí,0.2,0.30000000000000004
Muchas gracias,0.2,0.2
Gracias por el seguimiento. Ya quedó resuelto y no era problema de ustedes.,0.2,0.2
"Excelente servicio Por cieo, como dato Por cualquier cosa yo no di mis datos bancarios pues de uso común Yo tengo una cuenta digital de HeyBanco que no utilizo más que para esto, y ahí me han estado llegando mis transferencias Adjunto evidencia",0.3,0.5
"Ya quedó solucionado, Muchas gracias",0.26,0.26
recomiendo x10000 HeyBanco!!!,0.37,0.94
Gracias ya respondi el mensaje,0.2,0.2
"Estaría súper, algo como lo que hacen en",0.3333333333333333,0.6666666666666666
Fácil: Abre una cuenta bancaria en uno de los nuevos bancos digitales. Te recomiendo porque está mucho más integrado al sistema bancario que otros que simplemente son fintech.,0.1782828282828283,0.44083694083694086
No recuerdo pero creo que fue rápido,0.2,0.6
"hola buenas tardes! Me ayudan a confirmar cual es el monto máximo para transferir desde mi cuenta hey y como puedo modificar esos límites por favor, gracias!",0.875,0.6000000000000001
Muchas gracias! Le había recomendado a un conocido que antes ellos daban préstamos y ya no salen. Entonces quería sugerirle esa opción. Que amable eres.,0.6,0.9
"Creo que es eso, acaba de llegar, muchas gracias",0.26,0.26
Jaja lo mismo pasa con Mercado Pago y HeyBanco pero de acuerdo es una maravilla,0.39999999999999997,0.47500000000000003
"Si me resolvieron, tiene un gran servicio al cliente!",1,0.75
"Ya lo hice, ayer saqué todaa lana y mejor me quedo con quienes ya llevo tiempo y no he tenido problemas con ellos. También recomiendo a me está jalando muy bien y mis clientes me pagan por ahí. Saludos.",0.35,0.4
"Hola muchas gracias ya les expliqué la situación, les agradezco una respuesta a la brevedad",0.13,0.63
"Les escribí por ahí desde ayer, y no me pelaron!",-0.16,0.09
"hoy fue mi primer día en heybanco ✨🌷✨ de regreso a la vida de oficina 🦋 mil gracias, 💋",0.15,0.17777777777777778
"¡Por fin me tocó un BoletoDorado ganador! 🤩 Me sentí como Charlie en la fabrica de chocolates 🤭 Cámara solo me faltan 8,200 heypoints para mi xbox.",0.16666666666666666,0.9166666666666666
"Release notes, mensaje con typo en Terjeta Me gusto la actualización que hicieron para ver las tarjetas",0.6,0.8
"Justo a mi me pasó en el mismo momento, al final vuelve a aparecer en un rato después.",0,0.0625
Gracias 😊 🙏,0.22,0.16
Le sugiero encarecidamente que se comunique con ~bensonhack50~ en Instagram para solucionar cualquier problema relacionado con la cuenta. ahí rápido y confiable aún puedes graficarlos por WhatsApp 👉🏻👉🏻,0.2111111111111111,0.5777777777777778
"Muchas gracias, ya les respondí por DM",0.26,0.26
"En la Comunidarks me recomendaron la Rappicard y la HeyBanco. Uso más la de HeyBanco por las recompensas, no hay anualidad, además te da tarjeta dual entonces tienes de crédito y débito. La Rappicard la uso para cosas más específicas, por ej Ticketmaster la acepta sin problema.",0.3333333333333333,0.375
"Ya quedó resuelto favorablemente mi que queja, gracias",0.2,0.2
Que guen servicio traen los de siemrpe resuelven bien 10/10 ☺️☺️,0.22499999999999998,0.42500000000000004
"Muchas gracias, ya lleno los datos. /@heybanco",0.26,0.26
¡Muchísimas gracias por compair! ❤️ 🙌,0.26,0.26
De qué queja me hablan? 🙄 Nada de quejas con Trabajan muy bien ❤️,-0.05,0.25
en Recompensa Total Banoe llegan en menos de 3 días hábiles por mail.,-0.083333333,0.4083333333333333
Muy felices y contentos por nuestros clientes ya que hoy pudieron estrenar su nuevo hogar. inovaserviciosfinancieros cuauhtémocchihuahua creditos HeyBanco,0.6454545454545455,0.8181818181818182
"Perfecto, ya pude entrar a la App y como según mi dispositivo no es compatible (aunque es uno de los más recientes de Samsung) prefiero cambiar de banco a cambiar mi equipo. Hola! Saludos.",0.5,0.5833333333333334
"Yo la tengo, esta bien padre.",0.4166666666666667,0.5
Aplausos para el equipo de 🫠,0.29,0.22
"Yo quisiera saber si ya puedo ser acreedor a la tarjeta de crédito tradicional, debido a que ya llevo más de seis meses de uso de la garantizada y se ha mejorado mi historial muy significativamente!",0.30312500000000003,0.5833333333333334
"HeyBanco ha implementado un chat/bot muy interesante llamado HeyGPT, que resuelve dudas sobre sus productos, el cual me sorprendió bastante, creo que es un gran avance para mejorar la experiencia con la atención a clientes, acá te cuento todo:",0.5166666666666667,0.7666666666666666
Yo uso ese banco y siempre me resuelven rápido y mil veces más rápido vs Banamex haha,0.26666666666666666,0.4
HeyBanco. Me ha salido buena.,0.7,0.6000000000000001
Gracias.,0.2,0.16
Chulada de cuenta! Buenos rendimientos 🤑 aplicación funcionando al 💯 sin comisiones de ninguna especie!! Entre esta y la de no necesito nada de ninguna otra institución. Nunca cambien ehhh? Asi empezó Klar y luego ya no cumplió. ☺️👍🏻,0.40625,0.6375
"¡Feliz Día del Programador! Su trabajo es esencial para el funcionamiento de la sociedad actual, es por eso que te traemos algunos datos impoantes sobre este día y la profesión.👨🏻‍💻 HeyBancoMedia HeyBanco DíaDelProgramador Programadores",0.4,0.65
"Hola muchas gracias, ya les contesté vía DM",0.26,0.26
"Solucionado, gracias!",0.2,0.16
"Es que son horas de Venus, todavía están en tiempo xd",-0.2,0.3
Inviee en cuestión de minutos desde tu celular y obtén ganancias cada semana. 💰 Conoce cómo hacer crecer tu dinero con Inv…,0.16,0.77
A mi me sirvió actualizar mi versión de Android a la más reciente. Con eso ya abre,0.5,0.5
Gracias justo eso me funciono,0.2,0.2
Yo elimine el cache en los ajustes de la app y funcionó,0,0
Si me funcionó!!! Muchas gracias,0.2,0.2
Muchas gracias Hey! Ya quedó resuelto. 👌👌👌,0.26,0.26
Gracias ! Lo intentare 😁,0.2,0.16
Gracias! También me funcionó reiniciando 🙌,0.2,0.16
"Ya qiedo resuelto, muchas gracias!",0.325,0.26
Funcionó gracias. Mejor que la cuenta oficial,0.2,0.16
"Muchas gracias por la información, me sirvió para poder acceder a la aplicación, deberían publicar la solución en sus redes para que otros usuarios puedan solucionarlo",0.0675,0.3175
Confirmo hoy 19 de septiembre que funciona.. muchas gracias,0.26,0.26
"La colonia más bonita y cool de todo Latinoamérica te está esperando, descubre con Jonnah Moreno sus increíbles recintos y disfruta de su increíble belleza. HeyBanco HeyMedia HeydeLocal Guadalajara",0.65,0.7416666666666667
"El lugar perfecto para sentae a trabajar mientras te tomas un delicioso café... para después ir por una joya de la literatura, de segunda mano. Descubre con Jonnah Moreno los lugares secretos de la colonia Americana. HeyBanco HeyMedia HeydeLocal Guadalajara",0.32,0.54
"Entre cafeterías, una arquitectura única y bonitos pisos, Jonnah Moreno nos muestra la cara más apacible de la colonia Americana, que es considerada la más bonita en todo Latinoamérica. HeyBanco HeyMedia HeydeLocal Guadalajara",0.47500000000000003,0.6428571428571429
"Muchas gracias ahora sí, por mandar la actualización v10.39.2 de la app de Android. La aplicación funciona nuevamente, tras 5 días que estuvo muea para varios de nosotros. Gracias",0.13,0.13
"Exacto, en el 10.39.0 está todo normal.",0.2,0.44999999999999996
Listo! Muchas gracias! :),0.375,0.6
Ya hoy se restableció la aplicación gracias,0.2,0.2
"X3. A las 12 sin problema, y uno desde las 6 y nada",0.15,0.09
"Gracias por la respuesta, pude habilitar mi app",0.2,0.2
"A mi nunca me ha fallado, al contrario es de las más estables.",0.375,0.4
"Gracias, no debería ser información privada, es para que ustedes mejoren. Saludos.",0,0.375
cómo puedo pedir otra tarjeta sin perder mis datos anteriores. Gracias,-0.166666667,0.16666666666666666
Siempre estoy recomendando y llevo 2 meses sin tarjeta 🤡 ¿regresar a Banamex será la solución?,0.28,0.88
"Hola, solo para agradecer públicamente la atención recibida en su momento, y mencionar que ya recibí todos los productos solicitado de su tienda de Hey Shop. Muchas gracias.",0.1,0.13333333333333333
"Muchas gracias, los amo. 😭🫶🏽",0.5,0.6
"increíble que a estas alturas tengas que ir a activar tu netkey “móvil” a una sucursal cuando cambias de teléfono. Tienen mucho que aprender de que sin comprometer tu seguridad, lo hacen simple y rápido desde la misma app.",0.26,0.4364285714285715
Yo sigo pensando que es un gran producto,0.8,0.75
Gracias,0.2,0.16
"Gracias, les acabo de escribir.",0.17,0.16
"Tengo la de que es de banco Azteca y si esta muy bien, la de también esta padre y la de esas manejo",0.9099999999999999,0.7800000000000001
"En hora buena Jorge, tú eres una persona muy reconocida en el gremio mielero y tu reputación vale.",0.39999999999999997,0.3333333333333334
👀 Órale qué cool. ofrece información sobre finanzas personales dentro de la aplicación. 🤩 Habrá que darle una opounidad al podcast,0.05,0.15
"Gracias, volví a llamar y fue rapido",0.2,0.4
😮‍💨 5 estrellas al sopoe de ya se saben el dúo dinámico ☺️☺️,0,0.16666666666666666
Quedo en espera. Gracias,0.23,0.16
Felicidades a todos los que hicieron esto posible,0,1
Muchas gracias,0.2,0.2
"Procedo, gracias por el apoyo",0.2,0.2
Recibí ayuda de fredhack88 en Telegram. Me ayudó a recuperar mi cuenta y habilitar la autenticación de dos factores en la cuenta. Estoy realmente impresionado. También te ayudará con tus problemas de piratería.,0.2,0.2
"Gracias ya los conocí, los use, y hoy los dejo, definitivamente no son lo mio, pero si los recomiendo! 👍 Bancos f…",0.3,0.16
11% la inversión y con eso!,0.19,0.04
"¡Te vamos a sorprender! ⭐️ Para todos nuestros fans, ¡les queremos dar más! Estamos a punto de elevar su experiencia a un ni…",0,0
Se va a poner bueno con heybanco,0.7,0.6000000000000001
"Estamos igual, también me sorprendí",0.05,0.5125
Nos deberían sorprender con app funcional. Todos los dias hay que estar borrando e instalando. Dura un acceso útil.,0.3,0
Listo enviado,0.2,0.5
"Muy buena , esta vez hey se equivocó, decía ser diferente a los bancos normales e incluso puede que apair…",0.13999999999999999,0.7325
Fuiste bueno por un tiempo. Ahora mi tarjeta se irá al cajón. Hasta nunca 👋🫶,0.7,0.6000000000000001
es muy buena opción.,0.9099999999999999,0.7800000000000001
"La tarjeta plata trae buen cashback, deberías darle una revisada",0.7,0.6000000000000001
"¿SPA para los Hospitality? Bueno, siempre se agradece un masajito para aguantar los 3 días de festival ¡Checa los beneficios de cada abono! 🎟️🦁🔥 Mañana prevents exclusiva por TecatePalNoe 💖",0.2,0.1
Gracias! Les envíe otra duda.,0.2,0.16
"Ok, estaré al pendiente, gracias",0.5,0.5
"Gracias por mis ultimas recompensas, adios vaquero, fue bueno mientras duró",0.35,0.33333333333333337
Mañana los compramos!!! 🫶🙌🏻🙌🏻,0,0
🦁 ¡Gracias! La Venta Exclusiva HeyBanco está AGOTADA en su totalidad 🎫 🫵🏻 La venta libre de Boleto Tempranero para 2024 tendrá lugar mañana 28 de octubre a pair de las 14:00 hrs.,0.033333333,0.6
Gracias Gracias venta tempranera 🤍 Tqm,0.16666666666666666,0.2333333333333333
¡Muchas gracias por tu confianza! 😀🤲 ¡Estamos felices de que formes pae de la familia Klar! 🥰🤩 ¡TE QUEREMOS!❤️,0.5616666666666666,0.62
Sería lo más adecuado después de lo que costo por lo menos 6 meses de prueba como lo hacía Scotia con su tarjeta ideal ya después decides.,0.4,0.6
"Gracias, sigan con esas propuestas tan inovadoras que seguramente atraerán millones de clientes y marcarán un antes y un después de la banca en México. De seguro las felicitaciones no paran por eso hasta bloquearon sus redes sociales. Son unos genios! No se cansan de ganar tanto?",0.16666666666666666,0.5211111111111111
Fuiste bueno por un tiempo. Ahora mi tarjeta se irá al cajón. Hasta nunca 👋🫶,0.7,0.6000000000000001
Ya cayó la actualización gracias,0.2,0.2
Padrísimas las nuevas membresías de encontré una que se ajusta a mis necesidades y ya la contraté. Les recomiendo q…,0.3181818181818182,0.7272727272727273
"A mí ya me depositaron, la verdad estoy contento con sus servicios, espero recapaciten y re valoren sus decisiones",0.8,1
Es correcto,0.2857142857142857,0.5357142857142857
Esto de me parece tipo las gasolinaras VIP,-0.2,0.31
Antes que nada bienvenido a Ualá. Gracias por el feedback. Es muy constructivo. Varios de esos temas se resuelven en los próximos updates. Mudarse a una arquitectura 100% bancaria no ha sido fácil y eso afecta cieos procesos. Ya viene lo mejor. Gracias desde ya.,0.44722222222222224,0.4444444444444444
"Gracias ya pude comunicarme y creo si se solucionó mi problema, gracias 🙌",0.2,0.2
Buena publicidad 👇,0.7,0.6000000000000001
"¿Eres un estudiante y tienes una idea brillante? 💡 ¡El Reto Emprende Hey te espera! Paicipa y gana hasta $50,000 por tu…",0.6,0.6
Muchas gracias 🥰,0.26,0.26
Ahorita mismo les mando correo y número telefónico para contacto.,0.2857142857142857,0.5357142857142857
Dale gracias a,0.2,0.2
Checa creo que tiene mucho potencial!,0,1
¡Muchas gracias por tu confianza! 😀 🤲 ¡Estamos felices de que formes pae de la familia Klar! 🥰 🤩,0.53,0.63
"Lo verdaderamente interesante de heybanco es su herramienta de inversión y, en lo personal, sería para lo único que tengo la tarjeta y que pagaría por el plan. Según el plan que pagues y si dejas el dinero 7 o 28 días te pueden dar el 9%, 10%, 11% o 12% de interés anual.",0.16666666666666666,0.6
Ya están todos mis ahorros contigo! gracias,0.33,0.4
"Gracias, como siempre super atentos y efectividad en resolver dudas.",0.4444444444444445,0.7888888888888889
Gracias por la respuesta ya conteste por DM saludos,0.2,0.2
¡Estamos para servie!,0.28,0
"¿Eres un estudiante y tienes una idea brillante? 💡 ¡El Reto Emprende Hey te espera! Paicipa y gana hasta $50,000 por tu…",0.6,0.6
"Uf! Que buena idea, ¿No, Que nos pague en Hey Coins.",0.7,0.6000000000000001
"Mejor que anualidad, mensualidad 😏",0.5,0.5
Bien merecido 🫠,0,0
Me encanta la publicidad de la competencia,0.5,0.6
INVEX!! El acelerador conviene muchísimo si le gastas de 10k para arriba al mes. Este año llevo como 4 mil en vuelos y muchas tarjetitas de uber y starbies.,0.5,0.5
"Después de ver está entrevista, creo que es una excelente opción",1,1
este tweet es solo para agradecer la rapidez con la que resolvieron unos cargos no reconocidos. Necesitaba urgentemente ese dinero que robaron de mi tarjeta y ustedes me ayudaron en sólo 3 días. También las cosas buenas deberían compairse. ¡Gracias Hey Banco!,0,1
"Ya reflexioné, creo que están bien las membresías de",0.04,0.22
En unos meses se fue lo que lograron en años... Felicidades,-0.2,0.1
Esta es la mejor idea para sus clientes,1,0.3
"La verdad son muy buenos contra fraudes o cosas así, los demás bancos se mega desentienden, a mí me han hecho todos los paros de la vida.",0.39249999999999996,0.5775000000000001
"Sí vi que además traen primo del bono y el primer año sin anualidad, que es lo que me da codoo. Y luego la edición de la tarjeta rosa 🥲. Ya considerando seriamente.",-0.061111111,0.4333333333333333
"Yo amo con todo mi ser la Amex, la verdad siento que ninguna otra te tratan tan bien, está cara la anualidad pero sí vale toda la pena por la seguridad que te ofrecen.",0.090625,0.44375
"Gracias, novio, un saludo hasta allá.",0.2,0.2
Gracias Mandiii,0.2,0.2
"Same, ya mejor regresé a Banoe y HeyBanco solo para compras de “riesgo”.",0.25,0.3125
Vamos muy bien con heybanco 👍🏾,0.2,0.3
Muy amables muchas gracias.,0.37375,0.455
"Listo, lo hice en la madrugada, gracias!!",0.3125,0.5
Excelente noticia!!! El 15% está genial y sin necesidad de pagar membresías absurdas ahora sí tendrá mucho de que arrepentirse,0.325,0.675
bajó el rendimiento de la inversión mientras que la subió. Todo perfectamente equilibrado,1,1
recomendada,0,0.76
"Hazlo, es una excelente opción. Yo tengo con ellos 3 años",1,1
Una lección a esos perros de que quieren cobrar por lo que ustedes dan por solo ser clientes. Solo falta cashback y van a volver a ser mi tarjeta preferida.,0.15,0.525
"Buen movimiento 🤓 ""Hey"" me recuerda a Mantis de Kung-fu Panda cuando agarra las cuerdas del puente 😂",0.7,0.6000000000000001
Agree. 👍🏽 Hasta una crónica les avente.,0,0.13
Gracias 👍,0.2,0.16
Esto es rápido para,0.2,0.6
Nos encanta tenee con nosotros 🥰,0.5,0.6
Gracias carnal.,0.2,0.2
"A mí me ofrece 3MSI, sería bueno ver si es verdad jajaja",0.33749999999999997,0.4125
Beneficios de un mercado mas competitivo,0.5,0.5
"Bendita sea la competencia, y bienvenido el cashback así sea un por ciento como dice la canción",0.8,0.9
Gracias nos escuchaste y por eso seguiré contigo 🫶🤗,0.2,0.2
Lo mejor que pudiste hacer amigo,1,0.3
Tsss .. que bueno .,0.7,0.6000000000000001
"Gracias por la respuesta, estare atento saludos tio",0.30000000000000004,0.55
Gracias 🙏 😍👌⁦@soynumx⁩ ⁦@nubank⁩ espero sirva de aprendizaje a las demás plataformas si quieren nuestro dinero como inversionistas. Fyi ⁦@dinnactinver⁩ ⁦@heybanco⁩ ⁦@uala⁩ ⁦@uala_mex⁩ ⁦@MercadoPagoMex⁩ ⁦@FinsusApp⁩,-0.125,0.375
"Increíble atención al cliente de siempre he pagado a tiempo, estoy dentro del plazo de pago y…",0.9,0.9
el mejor banco,1,0.3
"Me uní a en julio de 2019 y me ha resultado muy útil para mis transacciones en línea, la verdad la recomiendo mucho",0.29500000000000004,0.1
"Hey Banco me gusta mucho, iwal mercado pago apae de q es súper práctico y el dinero q tienes ahí está inveido en gbm y te genera unos pesitos extras",0.16666666666666666,0.3833333333333333
🎁 ¡Promoción para todos nuestros clientes Hey! Aprovecha las compras de temporada y recibe recompensas en efectivo. ¿List@ p…,0.35,0.63
Me gustaba porque repoaba a buró de crédito,0.6,0.8
Hey. Banco que haya salido a la luz la coreo completa. Me gustó el final a lo indio. Como se llama la obra que interpretan?,0.3666666666666667,0.6333333333333334
Siempre estoy recomendando y llevo 2 meses sin tarjeta 🤡 ¿regresar a Banamex será la solución?,0.11,0.86
terminos y condiciones por favor,0.13,0
Jajajaja,0.2,0.4
Breve lección de economía. Aprende a no pagarle a y a cobrar por depositar en y al mismo tiempo que luchas contra el Gaza_Genocide,0,0.22916666666666666
. Llegan nuevos instrumentos financieros y te ofrecen hasta el 13 por ciento de dinero adicional por cada día que guardes tu dinero mientras que te cobra si no lo mueves por más de seis meses. Por eso está en,0.25,0.25
"Jamas pensé que me quedaría con Hey Banco después de todas las mamadas que están haciendo pero literalmente es la mejor opción que tengo. En fin, chingada madre HSBC, tremendo pedo por una compra de 150 pesos.",0.6666666666666666,0.65
"Correcto, sin más preámbulos.",0,0.5
Apareció una buena promo en al contratar un seguro para tu celular.,0.7,0.6000000000000001
"El canje de las hey Coins de por tarjetas de regalo de Amazon ya son instantáneas, te llegan los códigos casi al ins…",0.1,0.55
"Excelente pregunta, que de dijeron bro?…",1,1
"El canje de las hey Coins de por tarjetas de regalo de Amazon ya son instantáneas, te llegan los códigos casi al instante. ¿Recuerdan lo que me pasó hace unos meses? 🥲",-0.2,0.1
"Confirmo el día de hoy cambie mis Hey coins y en el correo de confirmación ya viene el código, todo cool ya hasta realizó mi compra 👍",0.35,0.65
Amamos las recompensas de 🫡,0.5,0.6
Con para que me patrocine más juegos del MaratonDevir,0.5,0.5
"Evalué cambiar a HeyBanco! por Nu, debido a la tasa de rendimiento y wow, gratamente sorprendida.",0.025000000000000005,0.7583333333333333
Muy amablemente su AreaEspecializada me dió solución. ^R,0.78,1
"Te la recomiendo, atención inmediata, también para ti un abrazo y felices fiestas, abrazo para toda la familia.",0.5,0.7
"Entiendo, con la de Baz me transfiero de la de crédito a la de Azteca, entra como una compra y no me genera comisión. Te la recomiendo y muy accesible",0.48750000000000004,0.48750000000000004
"Excelente, gracias por la información.",0.6,0.6
